d,x1,x2,x3,x4,TI_03,TI_15,vel_03,vel_15
5,0.55,0.1,0.1,0.1,0.107732156,0.169403384,0.79966,0.794576
6,0.55,0.1,0.1,0.1,0.107617308,0.166261177,0.799758,0.796249
7,0.55,0.1,0.1,0.1,0.107563413,0.163829971,0.799831,0.797429
8,0.55,0.1,0.1,0.1,0.107534217,0.161881116,0.799886,0.798267
9,0.55,0.1,0.1,0.1,0.107517025,0.16026977,0.799931,0.798863
10,0.55,0.1,0.1,0.1,0.107505969,0.158900547,0.79997,0.799285
1.2,0.55,0.1,0.1,2.05,0.115442986,0.207079651,0.794919,0.770205
2,0.55,0.1,0.1,2.05,0.110720809,0.190325907,0.797807,0.781915
3,0.55,0.1,0.1,2.05,0.10870173,0.179811922,0.799103,0.788533
4,0.55,0.1,0.1,2.05,0.10800709,0.173608569,0.799503,0.792213
5,0.55,0.1,0.1,2.05,0.107741214,0.169373516,0.799661,0.794624
6,0.55,0.1,0.1,2.05,0.10762858,0.166251561,0.799757,0.796289
7,0.55,0.1,0.1,2.05,0.107575442,0.163836629,0.799828,0.797462
8,0.55,0.1,0.1,2.05,0.107547216,0.161901609,0.799883,0.798295
9,0.55,0.1,0.1,2.05,0.107530025,0.160302504,0.799928,0.798885
10,0.55,0.1,0.1,2.05,0.107518969,0.158942932,0.799967,0.799303
1.2,0.55,0.1,0.1,4,0.115396149,0.20678275,0.794952,0.770426
2,0.55,0.1,0.1,4,0.110704537,0.19016184,0.797822,0.782037
3,0.55,0.1,0.1,4,0.108700777,0.179720348,0.79911,0.788609
4,0.55,0.1,0.1,4,0.108012827,0.173555301,0.799507,0.792269
5,0.55,0.1,0.1,4,0.107750271,0.169345635,0.799662,0.79467
6,0.55,0.1,0.1,4,0.107638882,0.166242363,0.799756,0.796327
7,0.55,0.1,0.1,4,0.107586366,0.163843171,0.799826,0.797494
8,0.55,0.1,0.1,4,0.107558627,0.16192109,0.799881,0.79832
9,0.55,0.1,0.1,4,0.107542054,0.160332822,0.799925,0.798906
10,0.55,0.1,0.1,4,0.107531483,0.158983401,0.799964,0.799319
1.2,0.55,0.1,0.55,0.1,0.120418417,0.213790826,0.791714,0.765225
2,0.55,0.1,0.55,0.1,0.112821433,0.194057774,0.796252,0.779151
3,0.55,0.1,0.55,0.1,0.109234562,0.181894923,0.798434,0.786833
4,0.55,0.1,0.55,0.1,0.107839877,0.17482809,0.799306,0.790941
5,0.55,0.1,0.55,0.1,0.107237025,0.170034045,0.799754,0.793581
6,0.55,0.1,0.55,0.1,0.10695701,0.166493311,0.799996,0.795411
7,0.55,0.1,0.55,0.1,0.106817361,0.163740096,0.800115,0.796719
8,0.55,0.1,0.55,0.1,0.106739586,0.161520449,0.800168,0.797668
9,0.55,0.1,0.55,0.1,0.106690174,0.15967731,0.800191,0.798363
10,0.55,0.1,0.55,0.1,0.106653837,0.158106657,0.8002,0.798874
1.2,0.55,0.1,0.55,2.05,0.120179891,0.212935132,0.791876,0.765861
2,0.55,0.1,0.55,2.05,0.112716728,0.19357797,0.796333,0.779509
3,0.55,0.1,0.55,2.05,0.109207891,0.181626449,0.798468,0.787053
4,0.55,0.1,0.55,2.05,0.107849925,0.174670309,0.799314,0.791106
5,0.55,0.1,0.55,2.05,0.107264422,0.169947011,0.799749,0.793717
6,0.55,0.1,0.55,2.05,0.106992429,0.166458801,0.799986,0.795526
7,0.55,0.1,0.55,2.05,0.106856844,0.163747853,0.800104,0.796817
8,0.55,0.1,0.55,2.05,0.106780775,0.161563428,0.800159,0.797752
9,0.55,0.1,0.55,2.05,0.106731599,0.159751053,0.800184,0.798433
10,0.55,0.1,0.55,2.05,0.106695496,0.158207317,0.800195,0.798931
1.2,0.55,0.1,0.55,4,0.119955455,0.212185073,0.792025,0.766419
2,0.55,0.1,0.55,4,0.112618091,0.193158307,0.796407,0.779821
3,0.55,0.1,0.55,4,0.109182243,0.181392122,0.798498,0.787244
4,0.55,0.1,0.55,4,0.107858655,0.174532615,0.799321,0.791249
5,0.55,0.1,0.55,4,0.107290003,0.169871623,0.799743,0.793835
6,0.55,0.1,0.55,4,0.107025405,0.166429337,0.799976,0.795626
7,0.55,0.1,0.55,4,0.106892772,0.163755827,0.800094,0.796903
8,0.55,0.1,0.55,4,0.106818537,0.161602771,0.80015,0.797825
9,0.55,0.1,0.55,4,0.106770084,0.159816724,0.800177,0.798494
10,0.55,0.1,0.55,4,0.106734213,0.158296406,0.80019,0.798981
1.2,0.55,0.1,1,0.1,0.399768972,0.25390503,0.530405,0.734676
2,0.55,0.1,1,0.1,0.30667912,0.218408277,0.581817,0.760004
3,0.55,0.1,1,0.1,0.241679829,0.195968254,0.622954,0.774758
4,0.55,0.1,1,0.1,0.202284125,0.183106792,0.648887,0.782312
5,0.55,0.1,1,0.1,0.175480384,0.174642691,0.666811,0.786807
6,0.55,0.1,1,0.1,0.155871406,0.16853708,0.680076,0.789786
7,0.55,0.1,1,0.1,0.140803101,0.163843038,0.69039,0.791915
